content,reviewCreatedVersion,score,cleaned_content
fitur dnaa cicil saya sudah lama gak muncul muncul beda dengan akun temen saya cuma beberapa bulan langaung ada,2.119.0,3,fitur dnaa cicil saya sudah lama gak muncul muncul beda dengan akun temen saya cuma beberapa bulan langaung ada
kurang bagus saya aja mendaftar akun Danamon gak bisa bisa Cok udah satu bulan lebih GK bisa bisa kurang bagus aplikasi ini bintang 2 ajadan kenapa akun dana saya belum muncul jugk dana cicil nya padahal saya sudah melakukan yg di minta sudah satu bulan lebih saya tunggu belum muncul jugk saya ada bukti transaksi saya,2.117.1,2,kurang bagus saya aja mendaftar akun danamon gak bisa bisa cok udah satu bulan lebih gk bisa bisa kurang bagus aplikasi ini bintang 2 ajadan kenapa akun dana saya belum muncul jugk dana cicil nya padahal saya sudah melakukan yg di minta sudah satu bulan lebih saya tunggu belum muncul jugk saya ada bukti transaksi saya
kak ini gimana untuk dana ko tidak bisa kebuka yah padahal udah afdet baru Singal bagus habis afdet yg baru bukanya makin bagus malah makin ngebleng untuk app dana,2.116.0,3,kak ini gimana untuk dana ko tidak bisa kebuka yah padahal udah afdet baru singal bagus habis afdet yg baru bukanya makin bagus malah makin ngebleng untuk app dana
baru kali ini make dana tf ke bank lain status berhasil tapi duit gamasukk 2minggu yg lalu lapor ktanya suruh nunggu sampai sekarang ga masuk duitnya gatau ilang kemana,2.112.0,3,baru kali ini make dana tf ke bank lain status berhasil tapi duit gamasukk 2minggu yg lalu lapor ktanya suruh nunggu sampai sekarang ga masuk duitnya gatau ilang kemana
ini ko koneksi internet terputus Mulu yah,2.111.0,1,ini ko koneksi internet terputus mulu yah
"saya lama pakai aplikasi dana,, transaksi sudah,, masa tidak ada dana instan,, yg lain ada semua, banyak ketidak adilan dalam aplikasinya... mengecewakan saya",2.121.0,1,"saya lama pakai aplikasi dana,, transaksi sudah,, masa tidak ada dana instan,, yg lain ada semua, banyak ketidak adilan dalam aplikasinya... mengecewakan saya"
"sangat kecewa sekali, sudah banyak bertransaksi di sini, tapi nggk ada untung nya, mending paket aplikasi lain aja,",2.118.0,1,"sangat kecewa sekali, sudah banyak bertransaksi di sini, tapi nggk ada untung nya, mending paket aplikasi lain aja,"
kok ga bisa masuk ke akun saya,2.118.0,1,kok ga bisa masuk ke akun saya
dana cicil gue gabisa di pakai keterangan tidak tersedia padahal 2 minggu lalu aman aman aja 😭,2.115.0,3,dana cicil gue gabisa di pakai keterangan tidak tersedia padahal 2 minggu lalu aman aman aja
saya ingin mengganti KTP tetapi selalu tidak bisa,2.111.0,3,saya ingin mengganti ktp tetapi selalu tidak bisa
sering gangguan saat transaksi,2.114.1,1,sering gangguan saat transaksi
halo buatnya admin DANA kenapa setelah saya isi ulang saldo malah ada masalah saya mau mentransfer keluarga jadi terhambat,2.111.0,3,halo buatnya admin dana kenapa setelah saya isi ulang saldo malah ada masalah saya mau mentransfer keluarga jadi terhambat
qris eror . kirim bank eror . hanya bikin jengkel doang,2.110.0,1,qris eror . kirim bank eror . hanya bikin jengkel doang
tidak membantu sama sekali aplikasi ini.,2.114.1,1,tidak membantu sama sekali aplikasi ini.
"maaf saya kasih bintang satu dulu, sayatf dari gopay ke dana bukti sukses tapi ga pernah ada uang masuk ke dana sampe sekarang, tolong perbaiki, saya juga kasih bintang 1 juga ke gopay",2.117.1,1,"maaf saya kasih bintang satu dulu, sayatf dari gopay ke dana bukti sukses tapi ga pernah ada uang masuk ke dana sampe sekarang, tolong perbaiki, saya juga kasih bintang 1 juga ke gopay"
"update jadi lemot, uang sudah dikirim tapi di aplikasi belum masuk. tertulis koneksi internet terputus. kirim dari bank mobile aja bisa, bukan sinyal tapi aplikasinya jelek.",2.118.0,2,"update jadi lemot, uang sudah dikirim tapi di aplikasi belum masuk. tertulis koneksi internet terputus. kirim dari bank mobile aja bisa, bukan sinyal tapi aplikasinya jelek."
sudah pake dana hampir 1 thn lebih transaksi selalu rutin tapi kenapa ga ada cicil sedang kan teman saya tidak transaksi sekali pun muncul dana cicil aplikasi aneh jadi nyesel pake dana sudah saya ajuin fitur dana cicil nunggu 30 hari saya sudah lebih nunggu 1thn anehh,2.115.0,1,sudah pake dana hampir 1 thn lebih transaksi selalu rutin tapi kenapa ga ada cicil sedang kan teman saya tidak transaksi sekali pun muncul dana cicil aplikasi aneh jadi nyesel pake dana sudah saya ajuin fitur dana cicil nunggu 30 hari saya sudah lebih nunggu 1thn anehh
kok gak ada dana cicil,2.119.0,3,kok gak ada dana cicil
"kenapa dana cicil tidak tersedia setelah saya melakukan pembayaran,? padahal tagihan saya tidak terlambat",2.114.1,2,"kenapa dana cicil tidak tersedia setelah saya melakukan pembayaran,? padahal tagihan saya tidak terlambat"
saya sudah pernah pakai dana cicil juga sudah lunas sebelum waktunya pembayaran tapi kok gak bisa diambil lagi ya dana cicilnya,2.117.1,3,saya sudah pernah pakai dana cicil juga sudah lunas sebelum waktunya pembayaran tapi kok gak bisa diambil lagi ya dana cicilnya
"kebanyakan lelet,transaksi pending lama, update transaksi pun lama",2.110.0,1,"kebanyakan lelet,transaksi pending lama, update transaksi pun lama"
TF lewat QR tidak bisa ... semakin parahhhhh ...,2.113.1,1,tf lewat qr tidak bisa ... semakin parahhhhh ...
"dana taik udah di bayar dana cicil lunas kok malah gak bisa pinjam lagi,,, kau hapus aja dana cicil gak guna kau tu",2.119.0,1,"dana taik udah di bayar dana cicil lunas kok malah gak bisa pinjam lagi,,, kau hapus aja dana cicil gak guna kau tu"
aplikasine elek puol arep ganti no hp diruwetno,2.119.0,1,aplikasine elek puol arep ganti no hp diruwetno
kenapa dana sy tdk bisa dibuka. soalnya kan mau liat transaksi org yg sll byar tf ke dana sy. pas sya mau buka malah tdk bsa gimana ni... sementar sy ksh bintang 1 dulu. setelah dana sy bsa dibuka bru sy ksh penilaian lebih...,2.111.0,1,kenapa dana sy tdk bisa dibuka. soalnya kan mau liat transaksi org yg sll byar tf ke dana sy. pas sya mau buka malah tdk bsa gimana ni... sementar sy ksh bintang 1 dulu. setelah dana sy bsa dibuka bru sy ksh penilaian lebih...
kenapa nda ad fitur Dana cicil ya🙃,2.115.0,3,kenapa nda ad fitur dana cicil ya
kenapa penghapusan akun secara permanen itu susah .?,2.120.1,1,kenapa penghapusan akun secara permanen itu susah .?
"ada apa dgn dana sudah berapa hari ini gag bisa d buka,sangat kecewa gw",2.112.0,3,"ada apa dgn dana sudah berapa hari ini gag bisa d buka,sangat kecewa gw"
"sering minta di perbaiki,padahal baru dua hari diperbarui",2.123.1,1,"sering minta di perbaiki,padahal baru dua hari diperbarui"
"hari ini aplikasi gak bisa transaksi, gak bisa cek aktifitas... padahal lagi butuh banget utk bayar sesuatu... padahal kemarin baik2 aja.... gimana dong?",2.117.1,1,"hari ini aplikasi gak bisa transaksi, gak bisa cek aktifitas... padahal lagi butuh banget utk bayar sesuatu... padahal kemarin baik2 aja.... gimana dong?"
banyak ngebug nge TF tapi gak muncul aktivitasnya,2.118.0,1,banyak ngebug nge tf tapi gak muncul aktivitasnya
sudah sebulan eMas digital tidak bisa diakses yang katanya dalam pemeliharaan tapi kok lama banget,2.110.0,3,sudah sebulan emas digital tidak bisa diakses yang katanya dalam pemeliharaan tapi kok lama banget
banyak kendala lama proses beli paket dan selalu gagal uang lama di kembalikan,2.111.0,1,banyak kendala lama proses beli paket dan selalu gagal uang lama di kembalikan
"ini dana kyak mna saldo ku 504000 skli maw dtarik mnjadi,4110000,ini sma aja nipu orang bru kali ini aku komplen,gila ni klw seprti iin jgan smpan uang ddana nipu org",2.120.1,1,"ini dana kyak mna saldo ku 504000 skli maw dtarik mnjadi,4110000,ini sma aja nipu orang bru kali ini aku komplen,gila ni klw seprti iin jgan smpan uang ddana nipu org"
ini dana gangguan mulu transaksi berhasil tapi saldo tetap sama stres,2.110.0,1,ini dana gangguan mulu transaksi berhasil tapi saldo tetap sama stres
babi niat nggak sih bikin dana point ngabuburit . setiap mau nukar di jam 10 pagi selalu habis,2.116.0,1,babi niat nggak sih bikin dana point ngabuburit . setiap mau nukar di jam 10 pagi selalu habis
"Pembayaran QR Sering tidak bisa, alasannya ada kendala terus. saldo juga suka lambat masuknya pas kita top up. Banyak problemnya nih aplikasi semakin lama. 👎",2.110.0,1,"pembayaran qr sering tidak bisa, alasannya ada kendala terus. saldo juga suka lambat masuknya pas kita top up. banyak problemnya nih aplikasi semakin lama."
Akun dana dana salah transfer,2.123.1,1,akun dana dana salah transfer
kenapa abis liat harga emas pas mau back ke menu utama malah ngefreze ?,2.119.0,1,kenapa abis liat harga emas pas mau back ke menu utama malah ngefreze ?
"dana lagi knp si,history pengeluaran gw ko ga ke detect",2.118.0,1,"dana lagi knp si,history pengeluaran gw ko ga ke detect"
"tolong hilangkan fitur minta otp, saya kesusahan untuk masuk ke akun dana saya dikarenakan nomor akun saya sudah tidak aktif, tidak seperti biasa akun saya bisa langsung masuk ke dana tanpa memerlukan verifikasi otp.",2.119.0,1,"tolong hilangkan fitur minta otp, saya kesusahan untuk masuk ke akun dana saya dikarenakan nomor akun saya sudah tidak aktif, tidak seperti biasa akun saya bisa langsung masuk ke dana tanpa memerlukan verifikasi otp."
"ribet sesama dana aja harus premium, mau pindah nomor, RIBETTTTT NYAAAAA... CUS KE OVO aja...",2.119.0,1,"ribet sesama dana aja harus premium, mau pindah nomor, ribettttt nyaaaaa... cus ke ovo aja..."
parah sih gua ganti hp pas login kok malah ga bisa di sangka muka nya beda,2.118.0,1,parah sih gua ganti hp pas login kok malah ga bisa di sangka muka nya beda
APLIKASI GAJELAS SUKA NGELEG²,2.110.0,1,aplikasi gajelas suka ngeleg
"saya mengalami masalah tentang dana goals kenapa ga bisa di tarik ya padahal udah masukin otp yg diberikan dengan benar,, udah seminggu tetep ka bisa kecewaaa lahh apk nya kok kaya gini banyak masalah",2.115.0,2,"saya mengalami masalah tentang dana goals kenapa ga bisa di tarik ya padahal udah masukin otp yg diberikan dengan benar,, udah seminggu tetep ka bisa kecewaaa lahh apk nya kok kaya gini banyak masalah"
mengapa fitur dana cicil saya gak ada,2.121.0,2,mengapa fitur dana cicil saya gak ada
dana bosok make qr doang gabisa,2.110.0,1,dana bosok make qr doang gabisa
ini ko dana gua terulang lagi gua nungguin nyaa lama bangetttt sumpah gua mau top up ga bisa bisaa ini ya ampun plis dana gua kenapaa ini gua coba login ke dana tapi lama bangettt udah kaya nungguin apaan lama banget ini dana gua ga bisa ke bukaa mental trus muluu dari aplikasi nyaa kesel gua sumpah dari kemarinnn!!! sorri kalo gua kasih bintang 1 soal nya dana gua ga bisa kebuka kaya dana gua males menanggapi gituu ahh elah,2.112.0,1,ini ko dana gua terulang lagi gua nungguin nyaa lama bangetttt sumpah gua mau top up ga bisa bisaa ini ya ampun plis dana gua kenapaa ini gua coba login ke dana tapi lama bangettt udah kaya nungguin apaan lama banget ini dana gua ga bisa ke bukaa mental trus muluu dari aplikasi nyaa kesel gua sumpah dari kemarinnn!!! sorri kalo gua kasih bintang 1 soal nya dana gua ga bisa kebuka kaya dana gua males menanggapi gituu ahh elah
pmkaian apk slm 6 thun tdk dpt dana cicil payah,2.119.0,2,pmkaian apk slm 6 thun tdk dpt dana cicil payah
sering gangguan tolong di perbaiki,2.123.2,1,sering gangguan tolong di perbaiki
"kenapa sekarang kirim uang harus daftar jadi premium ,,,,?",2.111.0,3,"kenapa sekarang kirim uang harus daftar jadi premium ,,,,?"
salah transfer ke dana orang lain gimna bisa di bantu 500rb,2.119.0,3,salah transfer ke dana orang lain gimna bisa di bantu 500rb
"saldo terpotong, tidak ada laporan aktivitas sangat mengecewakan sekali",2.110.0,1,"saldo terpotong, tidak ada laporan aktivitas sangat mengecewakan sekali"
"buat event ngabuburit, tapi hadiahnya tak ada. setiap hari mau tukar poin ke hadiah, tapi selalu habis katanya. padahal di coba di jam yg berbeda, tapi zonk. kalau tak ada hadiah, jngan buat event.",2.117.1,1,"buat event ngabuburit, tapi hadiahnya tak ada. setiap hari mau tukar poin ke hadiah, tapi selalu habis katanya. padahal di coba di jam yg berbeda, tapi zonk. kalau tak ada hadiah, jngan buat event."
masa ga ada fitur dana cicil nya. ga adil dong kalo gitu.,2.122.0,2,masa ga ada fitur dana cicil nya. ga adil dong kalo gitu.
aplikasi tidak amanah aplikasi tidak aman kalo ada kendala lama prosesnya,2.119.0,1,aplikasi tidak amanah aplikasi tidak aman kalo ada kendala lama prosesnya
"duit w tiba tiba ilang, apk aneh",2.110.0,1,"duit w tiba tiba ilang, apk aneh"
makin nggak jelas. saya mau transfer nggak bisa harus upgrade pas saya mau upgrade k premium susahnya minta ampun,2.123.1,1,makin nggak jelas. saya mau transfer nggak bisa harus upgrade pas saya mau upgrade k premium susahnya minta ampun
mengapa harus ugrade dana ke premium saya mau tf harus ugrade dulu dan saya tidak punya KTP,2.110.0,2,mengapa harus ugrade dana ke premium saya mau tf harus ugrade dulu dan saya tidak punya ktp
"kenapa sih saldo saya kepotong terus di bloomoffer atau apa itu saya saja tidak tau itu apa dan saya tidak pernah tau manau tentang itu saya pakai dana hnya untuk nyimpan uang saya, kesel banget sumpah kenapa sih persulit orang kayak gini",2.113.1,1,"kenapa sih saldo saya kepotong terus di bloomoffer atau apa itu saya saja tidak tau itu apa dan saya tidak pernah tau manau tentang itu saya pakai dana hnya untuk nyimpan uang saya, kesel banget sumpah kenapa sih persulit orang kayak gini"
"pliiisssss dana kenapa lagiih sih bbrpa hari ini gak bisa buat cek aktivitas atau membagikan bukti tf, bahkan buat isi pulsa pun gak bisaaaaaaaa. saat"" urgent malah gak bisa dipake samsekk...",2.113.1,2,"pliiisssss dana kenapa lagiih sih bbrpa hari ini gak bisa buat cek aktivitas atau membagikan bukti tf, bahkan buat isi pulsa pun gak bisaaaaaaaa. saat urgent malah gak bisa dipake samsekk..."
"nomor danaku hilang ,😢 gmna cara loginny",2.115.0,1,"nomor danaku hilang , gmna cara loginny"
"Aplikasi Busuk, selalu ada masalah , notif internet mati lah, pembayaran pending lah, busuk busuk",2.110.0,1,"aplikasi busuk, selalu ada masalah , notif internet mati lah, pembayaran pending lah, busuk busuk"
"aplikasi dana makin kesini makin aneh,sinyal bagus jaringan bagus ,pas login ke dana internet terputus katanya dan gak bisa transaksi sama sekali",2.115.0,1,"aplikasi dana makin kesini makin aneh,sinyal bagus jaringan bagus ,pas login ke dana internet terputus katanya dan gak bisa transaksi sama sekali"
sudah dua kali kejadian. pembayaran aplikasi tanpa saya ketahui. aplikasi sudah di hapus dari lama tapi bisa ada pembayaran,2.122.0,3,sudah dua kali kejadian. pembayaran aplikasi tanpa saya ketahui. aplikasi sudah di hapus dari lama tapi bisa ada pembayaran
keluar keluar terus dana udah jelwk,2.111.0,1,keluar keluar terus dana udah jelwk
"saya udah percaya banget sama dana, tapi saya baru saja mengalami penipuan senilai 1,8. Dan pihak dana tidak ada tanggung jawab apapun, saya sudah mencoba komplain di apk.",2.118.0,1,"saya udah percaya banget sama dana, tapi saya baru saja mengalami penipuan senilai 1,8. dan pihak dana tidak ada tanggung jawab apapun, saya sudah mencoba komplain di apk."
"sudah di upgrade yang terbaru,tidak keluar juga fitur dana cicil/paylaternya",2.114.1,1,"sudah di upgrade yang terbaru,tidak keluar juga fitur dana cicil paylaternya"
di dana ad fitur dana+.... tpi pas saya mau narik dana+ itu selalu gagal padahal itu edintitas saya sendiri kok ga bisa di tarik mohon berikan kompensasi nya,2.118.0,1,di dana ad fitur dana .... tpi pas saya mau narik dana itu selalu gagal padahal itu edintitas saya sendiri kok ga bisa di tarik mohon berikan kompensasi nya
"kenapa kalo mau login gabisa"" keluar sendiri terus, udah bolak-balik uninstall, dan install lagi, penyimpanan aman, jaringan aman, hadehh perbaiki deh",2.119.0,1,"kenapa kalo mau login gabisa keluar sendiri terus, udah bolak balik uninstall, dan install lagi, penyimpanan aman, jaringan aman, hadehh perbaiki deh"
"mau login aja lama banget verifikasi wajah padahal jaringan bagus, tolong di baikin",2.113.1,1,"mau login aja lama banget verifikasi wajah padahal jaringan bagus, tolong di baikin"
