content,reviewCreatedVersion,score,cleaned_content
harga pulsanya mahal amat semisal harga 25k jadi 27 k lebih . kok lebih mahal dari counter pulsa eceran bagaimana jual/transfer pulsa jke orang lain jadinya jika harga selisihnya kalo lebih mahal?,2.122.0,1,harga pulsanya mahal amat semisal harga 25k jadi 27 k lebih . kok lebih mahal dari counter pulsa eceran bagaimana jual transfer pulsa jke orang lain jadinya jika harga selisihnya kalo lebih mahal?
"wow saldo dana saya terpotong padahal saya tidak berlangganan aplikasi apapun, tiba tiba damn saldo saya terpotong 49.990 mengambil saldo saya tanpa persetujuan, kalo emang saya menggunakan uji coba gratis itu bisa saya batalkan tetapi di menu langganan tidak ada aplikasi yang mengambil saldo saya, tolong kembalikan saldo dana saya!!!!!",2.119.0,1,"wow saldo dana saya terpotong padahal saya tidak berlangganan aplikasi apapun, tiba tiba damn saldo saya terpotong 49.990 mengambil saldo saya tanpa persetujuan, kalo emang saya menggunakan uji coba gratis itu bisa saya batalkan tetapi di menu langganan tidak ada aplikasi yang mengambil saldo saya, tolong kembalikan saldo dana saya!!!!!"
"saya kecewa pakai dana karna saldo saya salalu berkurang dan ini juga saya mau byr utang tiba""di tarik smua",2.122.0,1,saya kecewa pakai dana karna saldo saya salalu berkurang dan ini juga saya mau byr utang tiba di tarik smua
"gak bisa login karena kode otp nya dikirim ke email yang salah, saya juga login nya pakai nomor hp bukan email, sudah coba berkali-kali tidak ada opsi otp ke sms/wa. CS/Asisten nya juga gak guna, gak jelas, gak membantu!.",2.122.0,1,"gak bisa login karena kode otp nya dikirim ke email yang salah, saya juga login nya pakai nomor hp bukan email, sudah coba berkali kali tidak ada opsi otp ke sms wa. cs asisten nya juga gak guna, gak jelas, gak membantu!."
"saran : jika menerima top up dari bank, nama pen top up di cantumkan, tujuannya agar tau dapat uang nya dari siapa",2.122.0,5,"saran jika menerima top up dari bank, nama pen top up di cantumkan, tujuannya agar tau dapat uang nya dari siapa"
"kecewa,karena saldo di akun DANA berkurang/hilang. sistem keamanannya kurang bagus. TOLONG mhon kembalikan saldo sya secepatnya. jika saldo tdk dikembalikan,saya tdk akan ikhlas,dan pelakunya semoga diberikan ganjaran yg setimpal. utk yg lainnya,utk pengguna DANA lainnya,hati2 ya.. maaf ulasan ini sya tulis agar menjadi pelajaran utk semuanya. trims",2.122.0,2,"kecewa,karena saldo di akun dana berkurang hilang. sistem keamanannya kurang bagus. tolong mhon kembalikan saldo sya secepatnya. jika saldo tdk dikembalikan,saya tdk akan ikhlas,dan pelakunya semoga diberikan ganjaran yg setimpal. utk yg lainnya,utk pengguna dana lainnya,hati2 ya.. maaf ulasan ini sya tulis agar menjadi pelajaran utk semuanya. trims"
kenapa saya blom bisa pinjam uang di dana cicil ya,2.122.0,5,kenapa saya blom bisa pinjam uang di dana cicil ya
Membantu sangat Sukses slalu,2.122.0,5,membantu sangat sukses slalu
"aplikasi dana parah bukannya lebih di tingkatkan lagi,malah semakin sulit,dana cicil gak bisa di gunakan padahal gak ada tunggakan",2.122.0,1,"aplikasi dana parah bukannya lebih di tingkatkan lagi,malah semakin sulit,dana cicil gak bisa di gunakan padahal gak ada tunggakan"
setelah de ada ga kk di tas wes eew,2.122.0,3,setelah de ada ga kk di tas wes eew
semoga dana cicil di aplikasi dana keluar,2.122.0,4,semoga dana cicil di aplikasi dana keluar
jika terjadi problem penanganan nya kurang cepat. menunggu 3x24 jam apk tidak bisa di gunakan.,2.122.0,1,jika terjadi problem penanganan nya kurang cepat. menunggu 3x24 jam apk tidak bisa di gunakan.
Masya Allah memudahkan aku transfer salam sukses buat dana dompet digital,2.122.0,5,masya allah memudahkan aku transfer salam sukses buat dana dompet digital
tapi dana cicil saya tidak bisa di gunakam,2.122.0,5,tapi dana cicil saya tidak bisa di gunakam
"saya mau mengganti nomer lamake baru lalu nomer lama ku daftarin ulang gak bisa, knp harus nunggu masa tunggu?",2.122.0,1,"saya mau mengganti nomer lamake baru lalu nomer lama ku daftarin ulang gak bisa, knp harus nunggu masa tunggu?"
"sangat mengecewakan,masa no hp lama saya hilang dan saldonya masih ada di no hp lama tetapi tidak bisa melakukan pemindahan saldo dan data diri ke akun dana baru. padahal awal buat dana feripikasi wajah berhasil dan KTP diri asli saya. karena no lama saya hilang dan pihak GraPARI tidak mau mengaktifkan no lama saya karena saya beli no nya saya di Batam sedangkan sekarang saya sudah di Pekanbaru.gimana saya bisa mengambil saldo di akun dana lama saya..??? jangan mempersulit konsumen demi keuntung",2.122.0,1,"sangat mengecewakan,masa no hp lama saya hilang dan saldonya masih ada di no hp lama tetapi tidak bisa melakukan pemindahan saldo dan data diri ke akun dana baru. padahal awal buat dana feripikasi wajah berhasil dan ktp diri asli saya. karena no lama saya hilang dan pihak grapari tidak mau mengaktifkan no lama saya karena saya beli no nya saya di batam sedangkan sekarang saya sudah di pekanbaru.gimana saya bisa mengambil saldo di akun dana lama saya..??? jangan mempersulit konsumen demi keuntung"
pembaruan tidak d. beritahu dari awal,2.122.0,1,pembaruan tidak d. beritahu dari awal
hanya ini saja lagi finish,2.119.0,5,hanya ini saja lagi finish
sekarang kirim uang ke bank BCA ada adminnya biasanya gratis,2.122.0,1,sekarang kirim uang ke bank bca ada adminnya biasanya gratis
sangat terbantu buat pembayaran,2.122.0,5,sangat terbantu buat pembayaran
ok deh paling top,2.122.0,5,ok deh paling top
mau ngirim ke e-wallet aja ngestuck mulu pdhal udah update,2.122.0,1,mau ngirim ke e wallet aja ngestuck mulu pdhal udah update
Bagus mudah cepat aman,2.121.0,5,bagus mudah cepat aman
"jangan mau pakek dana soal nya suka menipu dan suka ambil atau menelan uang kita yang ada di akun dana, suka bertransaksi sndiri tanpa izin dari kita, banyak penipuan nya jangan mau, aku aja udh banyak banget kehilangan uang tadi aja udah ke berapa kali nya aku tadi hilang uang rp. 296.098 rb itu dia bilang transaksi buat bayar tagihan aplikasi kan aneh saya saya tidak perna melakukan tagihan apapu dan lagi pembayaran tagihan tersebut tanpa izin dari saya langsung saja di ambil uang nya",2.122.0,1,"jangan mau pakek dana soal nya suka menipu dan suka ambil atau menelan uang kita yang ada di akun dana, suka bertransaksi sndiri tanpa izin dari kita, banyak penipuan nya jangan mau, aku aja udh banyak banget kehilangan uang tadi aja udah ke berapa kali nya aku tadi hilang uang rp. 296.098 rb itu dia bilang transaksi buat bayar tagihan aplikasi kan aneh saya saya tidak perna melakukan tagihan apapu dan lagi pembayaran tagihan tersebut tanpa izin dari saya langsung saja di ambil uang nya"
akun saya di tangguhkan,2.122.0,1,akun saya di tangguhkan
Kenapa nih Gak bisa di Buka.. mau bayar Dana cicil malah NgeLag parah note : Sudah Clear Cache + sudah hapus data + Install ulang.. Boleh saran lainnya Ini Mau bayar Dana Cicil dari 5hari jadi sisa 1hari lgi,2.122.0,3,kenapa nih gak bisa di buka.. mau bayar dana cicil malah ngelag parah note sudah clear cache sudah hapus data install ulang.. boleh saran lainnya ini mau bayar dana cicil dari 5hari jadi sisa 1hari lgi
"akun saya terkunci sementara disuruh menunggu sehari ditambah lagi sehari apa kalian gak bisa bedain,,jelas gw login di device yg sama padahal yg mau gw pake duit gw sendiri,,bukan duit lu juga kali",2.122.0,1,"akun saya terkunci sementara disuruh menunggu sehari ditambah lagi sehari apa kalian gak bisa bedain,,jelas gw login di device yg sama padahal yg mau gw pake duit gw sendiri,,bukan duit lu juga kali"
"KENAPA SEKARANG JUSTRU MALAH MAKIN BANYAK BUG + LAG???? aku gak bisa daget ih, disuruh upgrade ke premium mulu, padahal akun aku udah lama premium, dan juga udh tertulis kalau akun aku premium... beberapa hari yang lalu masih bisa, tapi pas kemarin aku update, jadi gak bisa... gimana dong?🙁",2.122.0,3,"kenapa sekarang justru malah makin banyak bug lag???? aku gak bisa daget ih, disuruh upgrade ke premium mulu, padahal akun aku udah lama premium, dan juga udh tertulis kalau akun aku premium... beberapa hari yang lalu masih bisa, tapi pas kemarin aku update, jadi gak bisa... gimana dong?"
sangat penting aplikasi ini,2.121.0,5,sangat penting aplikasi ini
tolong pin dana saya lupa,2.122.0,5,tolong pin dana saya lupa
bisa bantu apanya sampai dekarng dana cicil.gw gk bisa di aktifin,2.122.0,1,bisa bantu apanya sampai dekarng dana cicil.gw gk bisa di aktifin
APLIKASI TOLOL INIMAH SULIT DAPAT BANTUAN NYA,2.122.0,1,aplikasi tolol inimah sulit dapat bantuan nya
"kenapa diaplikasi dana saya gak ada bang btn? sehingga saya gak bisa melakukan transfer kesana. padahal, bang lain semua ada. cuma bang btn yang gak muncul dimenu.",2.122.0,3,"kenapa diaplikasi dana saya gak ada bang btn? sehingga saya gak bisa melakukan transfer kesana. padahal, bang lain semua ada. cuma bang btn yang gak muncul dimenu."
"Ribet banget mau ngisi token listrik pakek minta data lagi, aku ini mau beli bukan mau ngutang",2.122.0,1,"ribet banget mau ngisi token listrik pakek minta data lagi, aku ini mau beli bukan mau ngutang"
dana sngt menunjang skli..transaksi cepet dan mudah..,2.122.0,5,dana sngt menunjang skli..transaksi cepet dan mudah..
aktifka n dana cicil gmn,2.122.0,2,aktifka n dana cicil gmn
PENDING SEJAM PENDING SEJAM LAMA BANGETYKUTWVHEUO3QC GUA BUTUH PULSA 25K ITU GUA BUTUH KUOTA KUFWDK7EQNOLFAVHWC,2.119.0,1,pending sejam pending sejam lama bangetykutwvheuo3qc gua butuh pulsa 25k itu gua butuh kuota kufwdk7eqnolfavhwc
"Saya sudah update ganti nomor handphone baru dan sudah di upgrade ke premium, kok bisa nomer dana yang lama tidak terhapus sehingga masih bisa menerima transfer. sedangkan nomer itu sudah tidak ada. seharusnya ketika ada transaksi ke nomer dana yang lama transaksi gagal karena SDH berganti nomer/di non aktifkan. karena ada laporan customer transfer ke nomer dana yang lama saya harus konfirmasi ke operator dana baik call center maupun chat booth. saya disuruh ganti ke nomer baru lagi.Aneh",2.122.0,1,"saya sudah update ganti nomor handphone baru dan sudah di upgrade ke premium, kok bisa nomer dana yang lama tidak terhapus sehingga masih bisa menerima transfer. sedangkan nomer itu sudah tidak ada. seharusnya ketika ada transaksi ke nomer dana yang lama transaksi gagal karena sdh berganti nomer di non aktifkan. karena ada laporan customer transfer ke nomer dana yang lama saya harus konfirmasi ke operator dana baik call center maupun chat booth. saya disuruh ganti ke nomer baru lagi.aneh"
habis topup dana nya langsung hilang ada yg retas hati hati,2.122.0,1,habis topup dana nya langsung hilang ada yg retas hati hati
"tolong jangan suka ngebug,saya mau tarik malah di kira belum premium,pas mau upgrade,""anda sudah premium,tapi gak bisa narik",2.122.0,5,"tolong jangan suka ngebug,saya mau tarik malah di kira belum premium,pas mau upgrade, anda sudah premium,tapi gak bisa narik"
Alhamdulillah Dana sgt bgus dn membantu bget transaksi lancar terima kasih Dana.. Sukses Selalu buat Aplikasi DANA aamiin...,2.122.0,5,alhamdulillah dana sgt bgus dn membantu bget transaksi lancar terima kasih dana.. sukses selalu buat aplikasi dana aamiin...
GK bisa login ke dana peremium,2.122.0,1,gk bisa login ke dana peremium
"uang kesedot sendiri, TF gajelas ke nomor lain, apk jelek, gajelas, ga aman",2.122.0,1,"uang kesedot sendiri, tf gajelas ke nomor lain, apk jelek, gajelas, ga aman"
praktis nyaman sangat membantu,2.122.0,5,praktis nyaman sangat membantu
"makin lama makin busuk aplikasinya. isi pulsa gak bisa tulisannya ""sesi anda telah berakhir"", mau bayar-bayar gak bisa ada tulisannya "" ada kendala"". susah lah",2.122.0,1,"makin lama makin busuk aplikasinya. isi pulsa gak bisa tulisannya sesi anda telah berakhir , mau bayar bayar gak bisa ada tulisannya ada kendala . susah lah"
"sebagai dompet digital pertama yang saya gunakan, ini cukup berguna",2.122.0,5,"sebagai dompet digital pertama yang saya gunakan, ini cukup berguna"
klo gk ada transaksi secara langsung jangan langsung di transaksi lah kembalikan uang ku 200 rb,2.122.0,1,klo gk ada transaksi secara langsung jangan langsung di transaksi lah kembalikan uang ku 200 rb
kak sy tdk bisa login,2.122.0,5,kak sy tdk bisa login
aplikasi yang sangat membantu,2.120.1,5,aplikasi yang sangat membantu
tolong biarkan saya pakai fitur dana cicil,2.122.0,3,tolong biarkan saya pakai fitur dana cicil
apakah uang kembali jika salah kirim ke nomber tida aktip dan tida terdaptar di dana,2.122.0,1,apakah uang kembali jika salah kirim ke nomber tida aktip dan tida terdaptar di dana
Akun sudah premium tapi harus upgrade dan verifikasi gak bisa ngirim uang ke bank atau e-wallet,2.122.0,1,akun sudah premium tapi harus upgrade dan verifikasi gak bisa ngirim uang ke bank atau e wallet
"tolong aktifkan dana cicil saya bos ? dan dana instan bos ku ? dana cicil saya limit masih banyak , tapi tidak bisa di gunakan tolong aktifkan dana cicil saya",2.122.0,5,"tolong aktifkan dana cicil saya bos ? dan dana instan bos ku ? dana cicil saya limit masih banyak , tapi tidak bisa di gunakan tolong aktifkan dana cicil saya"
tidak bisa mengunakan pembayaran lain,2.122.0,1,tidak bisa mengunakan pembayaran lain
"ini gimana sih, aku transfer malah pending udah 24 jam tapi saldo ga di balikin juga, kekirim engga, di balikin engga, malah pendimh kaya gitu, tau gini gue ganti ke aplikasi sebelah aja lah, gopay",2.122.0,1,"ini gimana sih, aku transfer malah pending udah 24 jam tapi saldo ga di balikin juga, kekirim engga, di balikin engga, malah pendimh kaya gitu, tau gini gue ganti ke aplikasi sebelah aja lah, gopay"
"selalu saja setiap habis transaksi untuk melihat bukti transaksi nya pasti tidak bisa di buka ,adakah solusi?",2.122.0,1,"selalu saja setiap habis transaksi untuk melihat bukti transaksi nya pasti tidak bisa di buka ,adakah solusi?"
mantap pake dana itu memudahkan dalam transaksi,2.122.0,5,mantap pake dana itu memudahkan dalam transaksi
🥺🥺🥺🥺ga bisa TF ganti hp,2.122.0,5,ga bisa tf ganti hp
limit dana cicil pertama kali dapat 100k padahal tiap bulan transaksi sering lebih dari 20jt,2.122.0,3,limit dana cicil pertama kali dapat 100k padahal tiap bulan transaksi sering lebih dari 20jt
"ajg², Aku mau ngelakuin verivikasi di aplikasi ijo nggak bisa di kaitin padahal udah ngasih nomor hp pin tapi pasti balik ke menu utama lagi, nggak suka banget aku kalo begini ini proses verifikasinya di gampangin lah kaya si gopay, sulit banget!",2.122.0,1,"ajg , aku mau ngelakuin verivikasi di aplikasi ijo nggak bisa di kaitin padahal udah ngasih nomor hp pin tapi pasti balik ke menu utama lagi, nggak suka banget aku kalo begini ini proses verifikasinya di gampangin lah kaya si gopay, sulit banget!"
dana cicil limit tersedia tapi tidak bisa di gunakan,2.122.0,1,dana cicil limit tersedia tapi tidak bisa di gunakan
"bisaa ga sih kalo pembayaran tuh harus ada izin dari pemilik, jangan asal transaksi tampa pengetahuan pengguna",2.122.0,1,"bisaa ga sih kalo pembayaran tuh harus ada izin dari pemilik, jangan asal transaksi tampa pengetahuan pengguna"
apk yg sangat penting bagi semua masyarakat,2.122.0,5,apk yg sangat penting bagi semua masyarakat
cukup baik mudah di pahami,2.122.0,5,cukup baik mudah di pahami
semoga masalah pengembalian tunai saya di kembalikan secepatnya,2.122.0,5,semoga masalah pengembalian tunai saya di kembalikan secepatnya
dana premium tanpa KTp,2.121.0,5,dana premium tanpa ktp
mau transaksi malah pending dari jam 9 malam sampai sekarang tidak ada kembali2😭 chat diana tidak ada solusi yang di kasih gimana sih ini app😑 mana uang satu2nya lagi buat makan yg pending🥲semalaman gw gak makan gara2 ini aplikasi😭parah,2.122.0,1,mau transaksi malah pending dari jam 9 malam sampai sekarang tidak ada kembali2 chat diana tidak ada solusi yang di kasih gimana sih ini app mana uang satu2nya lagi buat makan yg pending semalaman gw gak makan gara2 ini aplikasi parah
dana pinjaman saya kok tidak muncul?,2.122.0,2,dana pinjaman saya kok tidak muncul?
bagus banget dana pesan Saya Danacicil tidak ada mohon diperbaiki 🙏 Danacicil tidakk tersedia dii dana saya padahal akun saya premium mohiydi proses,2.122.0,5,bagus banget dana pesan saya danacicil tidak ada mohon diperbaiki danacicil tidakk tersedia dii dana saya padahal akun saya premium mohiydi proses
tidak ada perubahan dana cicilnya gk bisa di buka gk bisa aktivasi,2.122.0,5,tidak ada perubahan dana cicilnya gk bisa di buka gk bisa aktivasi
"sudah pengajuan tapi nggk nongol"" dulu transaksi puluhan juta dan kenaren""juta an tapi aneh blum nongol",2.122.0,2,sudah pengajuan tapi nggk nongol dulu transaksi puluhan juta dan kenaren juta an tapi aneh blum nongol
jujur saya kecewa ke dana saldo saya tiba2 hilang pengaduan ke dana gak jelas tanggapan nya tolong kembalikan lagi saldo saya sebesar 750 ribu saya mohon,2.122.0,5,jujur saya kecewa ke dana saldo saya tiba2 hilang pengaduan ke dana gak jelas tanggapan nya tolong kembalikan lagi saldo saya sebesar 750 ribu saya mohon
kurang bagus masa dana cicilnya ga bisa di pake,2.122.0,1,kurang bagus masa dana cicilnya ga bisa di pake
"kenapa limit dana cicil saya tidak bisa di gunakan padahal sudah berbulan bulan namun limit nya tidak bisa di gunakan, padahal saya sudah melakukan syarat"" tersebut",2.122.0,5,"kenapa limit dana cicil saya tidak bisa di gunakan padahal sudah berbulan bulan namun limit nya tidak bisa di gunakan, padahal saya sudah melakukan syarat tersebut"
senang nya transaksi di apk ini bagus,2.122.0,5,senang nya transaksi di apk ini bagus
"kenapa fitur dana cicil saya tidak ada sedangkan saya sering transaksi dan tidak ada tagihan, sekian terimakasih",2.122.0,5,"kenapa fitur dana cicil saya tidak ada sedangkan saya sering transaksi dan tidak ada tagihan, sekian terimakasih"
"min saya ga pernah pinjam dana cicil tiba"" ada tagihannya tolong jelaskan",2.119.0,1,min saya ga pernah pinjam dana cicil tiba ada tagihannya tolong jelaskan
apakah bisa pengajuan pinjaman,2.122.0,5,apakah bisa pengajuan pinjaman
"gamau pake dana lagi, udh bertahun' langganan pake dana tapi pas saya melakukan payment dan eror malah beberapa menit kemudian saldo saya berkurang padahal payment eror dan gagal. sumpah nyesel bgt pake dana, mending pake m-banking yg jelas bank nya daripada ini komplain jg ga di urus.",2.122.0,1,"gamau pake dana lagi, udh bertahun langganan pake dana tapi pas saya melakukan payment dan eror malah beberapa menit kemudian saldo saya berkurang padahal payment eror dan gagal. sumpah nyesel bgt pake dana, mending pake m banking yg jelas bank nya daripada ini komplain jg ga di urus."
"mantap lah meskipun terkadang suka ngeleg, ngeleg yang dimaksud kayak agak berat gitu. apalagi pas sinyal gak mendukung pasti trobel nih apk dana, yah kadang sinyal bagus juga terdeteksi ngeleg sama apk dana. mohon ditingkatkan lagi kak. thanks✨",2.122.0,4,"mantap lah meskipun terkadang suka ngeleg, ngeleg yang dimaksud kayak agak berat gitu. apalagi pas sinyal gak mendukung pasti trobel nih apk dana, yah kadang sinyal bagus juga terdeteksi ngeleg sama apk dana. mohon ditingkatkan lagi kak. thanks"
dana buruk ga guna ga bsa d pake lg,2.122.0,1,dana buruk ga guna ga bsa d pake lg
BAYAR FERIZY AJA GABISAA ANEHH,2.122.0,2,bayar ferizy aja gabisaa anehh
sangat membantu memudahkan dalam bertransaksi,2.122.0,5,sangat membantu memudahkan dalam bertransaksi
Sangat membantu dan nyaman,2.121.0,5,sangat membantu dan nyaman
tolong di bantu dana Cicil nya dong,2.121.0,5,tolong di bantu dana cicil nya dong
saya kecewa karna hp saya hilang pemindahan akun selalu di persulit padahal data saya jelas saya orang nya udah ngikutin arahan sampe beli kartu beberapa kali tetap gak bisa dan di persulit udah mohon mohon tetap saya kecewa,2.122.0,1,saya kecewa karna hp saya hilang pemindahan akun selalu di persulit padahal data saya jelas saya orang nya udah ngikutin arahan sampe beli kartu beberapa kali tetap gak bisa dan di persulit udah mohon mohon tetap saya kecewa
"giliran mau hapus akun loadingnya lama bgt,tolong dong saya udah ga pake akun dana nya takut di salah gunakan makanya saya hapus,tolong di bantu",2.119.0,1,"giliran mau hapus akun loadingnya lama bgt,tolong dong saya udah ga pake akun dana nya takut di salah gunakan makanya saya hapus,tolong di bantu"
"tunggakan gak ada, bayaran tepat waktu, masih aja limit dana cicil, tidak bisa dipakai",2.122.0,5,"tunggakan gak ada, bayaran tepat waktu, masih aja limit dana cicil, tidak bisa dipakai"
aplikasi mentah ngasih pinjaman gk bisa dipake,2.122.0,1,aplikasi mentah ngasih pinjaman gk bisa dipake
Saya suka aplikasi ini,2.122.0,5,saya suka aplikasi ini
pembayaran lewat qris tidak dapat diakses/kendala terus. sangat tidak pantas menjadikan tabungan,2.122.0,1,pembayaran lewat qris tidak dapat diakses kendala terus. sangat tidak pantas menjadikan tabungan
"cukup memuaskan, tapi tolong fitur di akun saya di lengkapi, seperti dana cicil dan dana pinjam",2.122.0,4,"cukup memuaskan, tapi tolong fitur di akun saya di lengkapi, seperti dana cicil dan dana pinjam"
buat bayar selalu eror,2.122.0,1,buat bayar selalu eror
"dana gangguan terus anjir ni apk makin kesini makin bapuk ,mending pake ovo",2.122.0,1,"dana gangguan terus anjir ni apk makin kesini makin bapuk ,mending pake ovo"
kok gak bisa dana saya pake dana cicilan ya...,2.122.0,5,kok gak bisa dana saya pake dana cicilan ya...
"semakin buruk kualitasnya,sering eror...tidak bisa di andalkan dalam keadaan darurat.tutup saja jika tidak mampu menyiapkan aplikasi yg lebih baik,apalagi saldo hilang,jika di contac diana alasannya bertele2.",2.122.0,1,"semakin buruk kualitasnya,sering eror...tidak bisa di andalkan dalam keadaan darurat.tutup saja jika tidak mampu menyiapkan aplikasi yg lebih baik,apalagi saldo hilang,jika di contac diana alasannya bertele2."
"woi kocak, kok nggak bisa ngescan su",2.121.0,5,"woi kocak, kok nggak bisa ngescan su"
allhamdulillah semua jd lebih mudah,2.122.0,5,allhamdulillah semua jd lebih mudah
jaringan sibuk Mulu jelek dana sekarang,2.122.0,1,jaringan sibuk mulu jelek dana sekarang
ok saya sangat suka,2.122.0,5,ok saya sangat suka
ok sipp pengalaman yg menyenangkan mudah di gunakan untuk pembayaran apa saja dan lancar tuk penerimaan juga.,2.122.0,5,ok sipp pengalaman yg menyenangkan mudah di gunakan untuk pembayaran apa saja dan lancar tuk penerimaan juga.
"knp in masak g bisa masuk dana langsung kembali,g bisa masuk boss balik sendiri,terjadi lg ber kali kali",2.122.0,4,"knp in masak g bisa masuk dana langsung kembali,g bisa masuk boss balik sendiri,terjadi lg ber kali kali"
makin kesini malah sering gangguan gblok,2.122.0,1,makin kesini malah sering gangguan gblok
asli ni aplikasi busuk bner,2.122.0,1,asli ni aplikasi busuk bner
tidak bisa login padahal nmr sudah sama keluar trus,2.122.0,3,tidak bisa login padahal nmr sudah sama keluar trus
kenapa dana cicil tidak bisa di gunakan,2.122.0,5,kenapa dana cicil tidak bisa di gunakan
"Mohon Bantuannya , Kenapa Di Dana Saya untuk Program Dana Cicil Tidak Bisa Di Gunakan Yah , Mohon Bantuan nya dari pihak Dana",2.122.0,5,"mohon bantuannya , kenapa di dana saya untuk program dana cicil tidak bisa di gunakan yah , mohon bantuan nya dari pihak dana"
apa si gajelas nge bug2 gajelas apk buruk banget,2.122.0,1,apa si gajelas nge bug2 gajelas apk buruk banget
gimn cara biar akun lama kita bisa kembali lagi,2.122.0,5,gimn cara biar akun lama kita bisa kembali lagi
admin ko dana cicil nya gk bisa di aktifkan siih dan juga kenapa dana instan saya juga belum muncul,2.122.0,3,admin ko dana cicil nya gk bisa di aktifkan siih dan juga kenapa dana instan saya juga belum muncul
bagaimana memakai dana hp ram 3 buka saja lelet tolong min rekomendasi nya? terimakasih,2.121.0,5,bagaimana memakai dana hp ram 3 buka saja lelet tolong min rekomendasi nya? terimakasih
"saya mau bayar qris gabisa terus saja ada notifikasi ""fitur ini ada kendala coba lagi nanti""",2.122.0,1,saya mau bayar qris gabisa terus saja ada notifikasi fitur ini ada kendala coba lagi nanti
eror apa ini eror mulu nih apk,2.122.0,1,eror apa ini eror mulu nih apk
ganguan trooooooos qris nya,2.122.0,2,ganguan trooooooos qris nya
luar biasa bisa mudah bertransaksi,2.122.0,5,luar biasa bisa mudah bertransaksi
