content,reviewCreatedVersion,score,cleaned_content
"kenapa saya gk bisa kirim uang, kata nya harus upgrade... udah di upgrade tpi tetap gk bisa..",2.122.0,2,"kenapa saya gk bisa kirim uang, kata nya harus upgrade... udah di upgrade tpi tetap gk bisa.."
"tolonglah pihak dana kenapa pas beli transaksi masalah proses padahal token dah di beli, tolong kerja samanya",2.122.0,1,"tolonglah pihak dana kenapa pas beli transaksi masalah proses padahal token dah di beli, tolong kerja samanya"
aplikasi yg sangat tidak berguna uang saya hilang 500rb padahal sy tidak merasa melakukan transaksi tapi katanya tidak bisa di klaim uang kembali padahal niatnya untuk tabungan di dana ehh malah kayak gini,2.122.0,1,aplikasi yg sangat tidak berguna uang saya hilang 500rb padahal sy tidak merasa melakukan transaksi tapi katanya tidak bisa di klaim uang kembali padahal niatnya untuk tabungan di dana ehh malah kayak gini
di apdet makin lemet,2.122.0,1,di apdet makin lemet
ngasih fitur pijaman pilih2 akun gk jelas banget sekalian aja gk usah di kasih semua fitur pinjaman,2.122.0,1,ngasih fitur pijaman pilih2 akun gk jelas banget sekalian aja gk usah di kasih semua fitur pinjaman
"saya ngetf ga jelas tiba"" hilang 200k ribu",2.122.0,1,saya ngetf ga jelas tiba hilang 200k ribu
Kok Dana Eror sih tulisannya karna jaringan padahal jaringanku bagus buka Aplikasi lain lancar,2.122.0,3,kok dana eror sih tulisannya karna jaringan padahal jaringanku bagus buka aplikasi lain lancar
lama banget kerja nya apk busuk dana saya tidak di kembalikan proses lama,2.122.0,1,lama banget kerja nya apk busuk dana saya tidak di kembalikan proses lama
gw top up berhasil tapi saldonya gak masuk anj,2.122.0,1,gw top up berhasil tapi saldonya gak masuk anj
"rudet, apa"" hrs pake dana premium apa salah nya ga pake? mna klau mau tf hrs premium lah ini lah itu lah, klau ga verif cma bsa isi kouta sma pulsa. ribet bgt syalan",2.122.0,1,"rudet, apa hrs pake dana premium apa salah nya ga pake? mna klau mau tf hrs premium lah ini lah itu lah, klau ga verif cma bsa isi kouta sma pulsa. ribet bgt syalan"
"bagus ,akhir2 ini tak bisa saya gunakan,dengan alasan keamanan,lalu bagaimana mna ini?",2.122.0,1,"bagus ,akhir2 ini tak bisa saya gunakan,dengan alasan keamanan,lalu bagaimana mna ini?"
aplikasi dana tidak layak di pakai masa main potong langsung tanpa ada pemberitahuan terlebih dahulu mengunakan pin..mohon jadi perhatian terhadap hal tersebut,2.122.0,1,aplikasi dana tidak layak di pakai masa main potong langsung tanpa ada pemberitahuan terlebih dahulu mengunakan pin..mohon jadi perhatian terhadap hal tersebut
banyak penipuan proses lama jelek bngettttttt,2.122.0,1,banyak penipuan proses lama jelek bngettttttt
aneh stuck di transaksi pembayaran mulu,2.122.0,1,aneh stuck di transaksi pembayaran mulu
"kalau login, dia ngestack, gk bisa masuk",2.122.0,1,"kalau login, dia ngestack, gk bisa masuk"
gmana min ngelag ini,2.122.0,1,gmana min ngelag ini
"kenapa dengan akun saya,yg tadinya nama sendiri kok sekarang berubah menjadi danaid",2.122.0,3,"kenapa dengan akun saya,yg tadinya nama sendiri kok sekarang berubah menjadi danaid"
"Dana gunanya apa ya,masa semenjak di upgrade harus premium dulu baru bisa transaksi dan tarik tunai. sekarang aplikasi ini apa ada solusinya jika semua orang yg mempunyai akun dana belum premium, tapi ada saldo di dalam nya! apa bisa di cair kan?? . atau ini teknik marketing kalian agar suatu saat akun tersebut tidak pernah di buka dengan sengaja kalian bekukan uang nya dan kalian gunakan sendiri uang tersebut ? dengan iming-iming harus verifikasi terlebih dahulu.",2.122.0,1,"dana gunanya apa ya,masa semenjak di upgrade harus premium dulu baru bisa transaksi dan tarik tunai. sekarang aplikasi ini apa ada solusinya jika semua orang yg mempunyai akun dana belum premium, tapi ada saldo di dalam nya! apa bisa di cair kan?? . atau ini teknik marketing kalian agar suatu saat akun tersebut tidak pernah di buka dengan sengaja kalian bekukan uang nya dan kalian gunakan sendiri uang tersebut ? dengan iming iming harus verifikasi terlebih dahulu."
"Akun saya dibekukan, saya bertanya knp?",2.122.0,1,"akun saya dibekukan, saya bertanya knp?"
plis boleh ga kalau premium nya ga ada soalnya udah di omongin baik baik di Gmail ga bisa juga tolong developer,2.122.0,3,plis boleh ga kalau premium nya ga ada soalnya udah di omongin baik baik di gmail ga bisa juga tolong developer
dana cicil saya ada limit tapi gk bisa digunakan habis scan wajah langsung kembali kemenu tanpa ada keterangan berhasil atau tidaknya,2.122.0,1,dana cicil saya ada limit tapi gk bisa digunakan habis scan wajah langsung kembali kemenu tanpa ada keterangan berhasil atau tidaknya
gak bisa apgret k dana premium selalu gagal jadi bintang satu aj susah apgretnya.aq mau ganti akun yg sekarang selalu gagal.,2.122.0,1,gak bisa apgret k dana premium selalu gagal jadi bintang satu aj susah apgretnya.aq mau ganti akun yg sekarang selalu gagal.
"saldo danacil tidak bisa digunakan, padahal sudah dibayar, cuma telat 1hari",2.122.0,1,"saldo danacil tidak bisa digunakan, padahal sudah dibayar, cuma telat 1hari"
Fitur Tarik Tunai seringkali error/full server,2.122.0,1,fitur tarik tunai seringkali error full server
dana tau ajing cicilan udah bayar malah ga bisa dipake setan buat apah punya dana cicil setas,2.122.0,1,dana tau ajing cicilan udah bayar malah ga bisa dipake setan buat apah punya dana cicil setas
"aplikasi sampah, mau kirim atau bayar aja harus upgrade premium",2.122.0,1,"aplikasi sampah, mau kirim atau bayar aja harus upgrade premium"
"apk nggak jelas, nggak tanggung jawab atas kehilangan saldo pengguna, cuma prihatin doang bego banget, udah berkali kali chat Diana tapi sama aja respon nya, saldo balik kaga capek iya",2.122.0,1,"apk nggak jelas, nggak tanggung jawab atas kehilangan saldo pengguna, cuma prihatin doang bego banget, udah berkali kali chat diana tapi sama aja respon nya, saldo balik kaga capek iya"
sering banget gangguan tapi keamanan nya bintang 1 alias cacat,2.121.0,1,sering banget gangguan tapi keamanan nya bintang 1 alias cacat
status dokumen lagi di cek. dah 3 tahun di cek gak kelar kelar wkwkwk,2.122.0,1,status dokumen lagi di cek. dah 3 tahun di cek gak kelar kelar wkwkwk
"wkwk, saldonya suka kepotong otomatis padahal gapernah make apk/website berlangganan itu",2.122.0,1,"wkwk, saldonya suka kepotong otomatis padahal gapernah make apk website berlangganan itu"
"untuk opsi paket data disi keterangan yang lengkap,saya beli paket 5gb buat 28hari dikira data nasional ternyata cuman buat ngegame,tolong kembalikan saldo saya",2.122.0,1,"untuk opsi paket data disi keterangan yang lengkap,saya beli paket 5gb buat 28hari dikira data nasional ternyata cuman buat ngegame,tolong kembalikan saldo saya"
transaksi pake QRIS biasanya awal awal pake pin eh pas di pake lagih transaksi tida peke pin trus maksudnya ituh apa ya coba jelasin aku takut bila saldo banyak . Terima kasih dana QRIS bisnis aku udah jadi,2.122.0,3,transaksi pake qris biasanya awal awal pake pin eh pas di pake lagih transaksi tida peke pin trus maksudnya ituh apa ya coba jelasin aku takut bila saldo banyak . terima kasih dana qris bisnis aku udah jadi
"Saya baru pake DANA beberapa hari barusan dapat Transfer uang dari akun dana lain tapi APK Dana minta upgrade ke premium, terus sudah coba upgrade tapi notifnya harus nunggu 30 hari lagi. Bagaimana saya mengambil saldo saya sendiri dari Apk DANA sekarang ? saya merasa dirugikan tak bisa bertransaksi sekarang !!",2.122.0,1,"saya baru pake dana beberapa hari barusan dapat transfer uang dari akun dana lain tapi apk dana minta upgrade ke premium, terus sudah coba upgrade tapi notifnya harus nunggu 30 hari lagi. bagaimana saya mengambil saldo saya sendiri dari apk dana sekarang ? saya merasa dirugikan tak bisa bertransaksi sekarang !!"
No dana hilang. Saldo pun hilang. jngn harap bs utuh kembali saldony. pindahin akun bertele2 ujung2ny saldo terkuras tak tersisa. ad yg prnh ngalamin,2.122.0,1,no dana hilang. saldo pun hilang. jngn harap bs utuh kembali saldony. pindahin akun bertele2 ujung2ny saldo terkuras tak tersisa. ad yg prnh ngalamin
"kenapa saya tidak bisa login ke dana dengan alasan jaringan tidak stabil padahal jaringan saya bagus udah 3 hari gak bisa pake dana,,, punya istriku juga sama gak bisa pakai dana,, ada apa dengan dana skrang ini jadi makin jelek,,",2.122.0,2,"kenapa saya tidak bisa login ke dana dengan alasan jaringan tidak stabil padahal jaringan saya bagus udah 3 hari gak bisa pake dana,,, punya istriku juga sama gak bisa pakai dana,, ada apa dengan dana skrang ini jadi makin jelek,,"
"aplikasi nya sih bagus,tapi uang saya berkurang karena harus bayar bayar ke google,padahal dulu gak kyaka gini,tolong ya uang saya. tadi 100 tinggal 33 ribu,mohon agar dibuat agar gak usah bayar ke google lagi",2.122.0,2,"aplikasi nya sih bagus,tapi uang saya berkurang karena harus bayar bayar ke google,padahal dulu gak kyaka gini,tolong ya uang saya. tadi 100 tinggal 33 ribu,mohon agar dibuat agar gak usah bayar ke google lagi"
"ini aplikasi tertololllll, aplikasi terbayar otomatis padahal kita udah hentikan pembayarannya sangat jelek, tidak rekomendasi pake aplikasi jelek ini",2.122.0,1,"ini aplikasi tertololllll, aplikasi terbayar otomatis padahal kita udah hentikan pembayarannya sangat jelek, tidak rekomendasi pake aplikasi jelek ini"
"nyesel coba coba aktifin dana cicil saldo yg di dapet gk seberapa, dan sering mengecoh saat transaksi, opsi pembayaran pertama selalu Danan cicil, dan saat kita GK sadar, kita melakukan transaksi, tau tau dapet tagihan cicilan. dan anehnya fitur dana cicil tidak bisa di non aktifkan . yg menurut saya kebijakan ini sangat memberatkan",2.119.0,1,"nyesel coba coba aktifin dana cicil saldo yg di dapet gk seberapa, dan sering mengecoh saat transaksi, opsi pembayaran pertama selalu danan cicil, dan saat kita gk sadar, kita melakukan transaksi, tau tau dapet tagihan cicilan. dan anehnya fitur dana cicil tidak bisa di non aktifkan . yg menurut saya kebijakan ini sangat memberatkan"
"dana ribet banget prosesnya, males. mana dah terlanjur saldo masuk ke dana hih",2.122.0,1,"dana ribet banget prosesnya, males. mana dah terlanjur saldo masuk ke dana hih"
Pelayanan ny Gk jelas Lemot Pula Sudah Mengajukan Mengaktifkan Dana pinjaman paylater Ke Customer Servis ny Jawabannya Proses Pengaktifan menunggu 2/3 hari setelah lewat dari 3 hari setelah saya cek Di Akun Dana Saya masih ttp sama TDK ada yg nama ny Muncul Dana pinjaman paylater ini PHP doank apa Penipu pdhl saya sudah mengikuti peraturan yg di arahkan tapi bukti ny Nol,2.120.1,1,pelayanan ny gk jelas lemot pula sudah mengajukan mengaktifkan dana pinjaman paylater ke customer servis ny jawabannya proses pengaktifan menunggu 2 3 hari setelah lewat dari 3 hari setelah saya cek di akun dana saya masih ttp sama tdk ada yg nama ny muncul dana pinjaman paylater ini php doank apa penipu pdhl saya sudah mengikuti peraturan yg di arahkan tapi bukti ny nol
"Dana ini kenapa lagi ya dulu udah di upgrade ke premium tapi gak bisa TF ke orang lain, trus sekarang udah bisa malah tiba-tiba orang lain gak bisa TF ke Saya😭",2.122.0,1,"dana ini kenapa lagi ya dulu udah di upgrade ke premium tapi gak bisa tf ke orang lain, trus sekarang udah bisa malah tiba tiba orang lain gak bisa tf ke saya"
kenapa habis update jadi makin susah untuk buka galeri QR Pembayaran? lelet banget yg sekarang dan ga dikasih opsi pilihan kaya dulu,2.122.0,1,kenapa habis update jadi makin susah untuk buka galeri qr pembayaran? lelet banget yg sekarang dan ga dikasih opsi pilihan kaya dulu
"saya masih kurang puas dengan aplikasi ini tdak bisa masuk uang tau apa ini,,, ngk tau entah kendalanya apa,, tidak bisa masuk uang",2.122.0,3,"saya masih kurang puas dengan aplikasi ini tdak bisa masuk uang tau apa ini,,, ngk tau entah kendalanya apa,, tidak bisa masuk uang"
gua memberi 3 bintang karena dana nya sukah ngebug 🤬😡😤,2.122.0,3,gua memberi 3 bintang karena dana nya sukah ngebug
aplikasi GK jelas . masih ada saldo tiba2 GK bisa diakses,2.122.0,2,aplikasi gk jelas . masih ada saldo tiba2 gk bisa diakses
"saldo hilang 600rb, tiba"" ada transaksi pengiriman pulsa.",2.123.0,1,"saldo hilang 600rb, tiba ada transaksi pengiriman pulsa."
kenapa temanku transfer uang ke dana saya tidak masuk uangnya yah padahal transaksi berhasil tapi uangnya tjdak masuk ke saya gimana koo bisaaaaa😭😭,2.122.0,2,kenapa temanku transfer uang ke dana saya tidak masuk uangnya yah padahal transaksi berhasil tapi uangnya tjdak masuk ke saya gimana koo bisaaaaa
fitur dana cicil hapus aja tidak berguna ada limit tidak bisa di gunakan,2.122.0,1,fitur dana cicil hapus aja tidak berguna ada limit tidak bisa di gunakan
Limit tersedia.. telat bayar paling lama 1 hari.. tpi aneh dana cicil ga bisa???? mohon penjelasan giliran hilang saldo adem bae.. terima kasih,2.122.0,1,limit tersedia.. telat bayar paling lama 1 hari.. tpi aneh dana cicil ga bisa???? mohon penjelasan giliran hilang saldo adem bae.. terima kasih
"saya masih tidak bisa melakukan transaksi e wallet padahal akun saya sudah premium, alasan nya akun saya belum di upgrade",2.122.0,1,"saya masih tidak bisa melakukan transaksi e wallet padahal akun saya sudah premium, alasan nya akun saya belum di upgrade"
aplikasiii jelekkkkkkk....ada fitur yg gak bisa di pakeee,2.122.0,1,aplikasiii jelekkkkkkk....ada fitur yg gak bisa di pakeee
tidak bisa login dengan alasan koneksi internet bermasalah padahal tidak ada kendala di internet,2.120.1,1,tidak bisa login dengan alasan koneksi internet bermasalah padahal tidak ada kendala di internet
dana cicil saya tidak keluar,2.122.0,1,dana cicil saya tidak keluar
jangan mau download aplikasi ini. sering banget duit hilang pihak danapun ga ada responnya,2.122.0,1,jangan mau download aplikasi ini. sering banget duit hilang pihak danapun ga ada responnya
"Tolong bisa di jelaskan pihak developer aplikasi,saldo saya hilang 14 jt cek di history transaksi tidak terdeteksi tolong tanggung jawab yaa uang untuk nikah itu😭",2.122.0,1,"tolong bisa di jelaskan pihak developer aplikasi,saldo saya hilang 14 jt cek di history transaksi tidak terdeteksi tolong tanggung jawab yaa uang untuk nikah itu"
aplikasi jelek ngapa pake verifikasi wajah segala malah kelamaan gatEl aplikasi dana sekarang,2.122.0,1,aplikasi jelek ngapa pake verifikasi wajah segala malah kelamaan gatel aplikasi dana sekarang
saya baru saja dibobol aplikasi dana oleh pihak yang tidak bertanggungjawab. Kode OTP masuk ke wa saya..dia bisa login..kan aneh. habis uang saya di transfer ke PT. Bodong. Sangat memalukan aplikasi sebesar ini bisa kebobolan. artinya orang dalam yang punya kerjaan. gak mungkin bisa membobol OTP masuk,2.122.0,1,saya baru saja dibobol aplikasi dana oleh pihak yang tidak bertanggungjawab. kode otp masuk ke wa saya..dia bisa login..kan aneh. habis uang saya di transfer ke pt. bodong. sangat memalukan aplikasi sebesar ini bisa kebobolan. artinya orang dalam yang punya kerjaan. gak mungkin bisa membobol otp masuk
"astaghfirullah mau transaksi aja harus upgrade dulu dan itu nunggu 2 hari, mana duit di dana semua. kan mau transaksi jadi kehalang semua. nyesek banget pake nih apk",2.122.0,1,"astaghfirullah mau transaksi aja harus upgrade dulu dan itu nunggu 2 hari, mana duit di dana semua. kan mau transaksi jadi kehalang semua. nyesek banget pake nih apk"
"kurang memuas kan bila salah transfer ke nomor yg tidak aktif uang tidak kembali,sangat kecewa",2.122.0,1,"kurang memuas kan bila salah transfer ke nomor yg tidak aktif uang tidak kembali,sangat kecewa"
dana saya kok g bisa lagi buat transfer ya.....gagal trusss.....,2.122.0,3,dana saya kok g bisa lagi buat transfer ya.....gagal trusss.....
dana cicil ga bisa d gunain taii,2.122.0,3,dana cicil ga bisa d gunain taii
Verifikasi wajah gagal terus saya ingin verifikasi dengan email,2.122.0,1,verifikasi wajah gagal terus saya ingin verifikasi dengan email
goblog apk inii bnyk tingkhh,2.122.0,1,goblog apk inii bnyk tingkhh
"ini apk Dana kenapa gabisa buka fitur Dana Goals ya, saya mau ambil uang di Dana goals 🤦‍♂️",2.122.0,2,"ini apk dana kenapa gabisa buka fitur dana goals ya, saya mau ambil uang di dana goals"
"pagi ini saya TF tapi belum masuk ke dana sedangkan saldonya berkurang,tolong min . sebelum nya lancar lancar Saja kalau tf",2.122.0,2,"pagi ini saya tf tapi belum masuk ke dana sedangkan saldonya berkurang,tolong min . sebelum nya lancar lancar saja kalau tf"
"akun dana saya tiba2 terproteksi dan ada saldo di dalamnya,diarah kan utk chat cs, chat trnyta cs AI,dsruh menunggu 3-7 hari akan dikabari. di hari ke 4 saya diarah kan masuk ke apk dana dan chat cs kembali . dan trnyta cs nya pun AI juga. tidak membantu sama sekali hanya di oper kesana kemari. danq saya diarah kan membuat akun baru sambil menunggu info.dan saya skrg dsruh menunggu 90 hari utk membuka akun yg dibekukan. sedangkan uang itu MW saya gunakan. benar2 kecewa berat .",2.122.0,1,"akun dana saya tiba2 terproteksi dan ada saldo di dalamnya,diarah kan utk chat cs, chat trnyta cs ai,dsruh menunggu 3 7 hari akan dikabari. di hari ke 4 saya diarah kan masuk ke apk dana dan chat cs kembali . dan trnyta cs nya pun ai juga. tidak membantu sama sekali hanya di oper kesana kemari. danq saya diarah kan membuat akun baru sambil menunggu info.dan saya skrg dsruh menunggu 90 hari utk membuka akun yg dibekukan. sedangkan uang itu mw saya gunakan. benar2 kecewa berat ."
Saya kecewa degan aplikasih Dana ini... saldo Dana Saya bisa hilang... sebanya 700 ribuh... Dan tdk dapat Kengbali,2.122.0,1,saya kecewa degan aplikasih dana ini... saldo dana saya bisa hilang... sebanya 700 ribuh... dan tdk dapat kengbali
"mau bicara custemer service aja tidak bisa , yang ada cuma robot asisten gak guna yang bikin tambah mumet... hapus aja itu asisten digital/robot gak guna",2.122.0,1,"mau bicara custemer service aja tidak bisa , yang ada cuma robot asisten gak guna yang bikin tambah mumet... hapus aja itu asisten digital robot gak guna"
knp dana instan saya ga muncul padahal persyaratan semua udah,2.122.0,1,knp dana instan saya ga muncul padahal persyaratan semua udah
"mending apus akun, sering gak bisa tf ke selain dana",2.122.0,1,"mending apus akun, sering gak bisa tf ke selain dana"
"SDH sya tunggu berhari"" TF ke sesama e wallet masalah terus smpai skrg",2.122.0,2,sdh sya tunggu berhari tf ke sesama e wallet masalah terus smpai skrg
Kenapa sih A+rewards katanya harus verifikasi ulang padahal gak ada masalah apapun tolong banget penjelasannya,2.122.0,1,kenapa sih a rewards katanya harus verifikasi ulang padahal gak ada masalah apapun tolong banget penjelasannya
ih gak jelas amat gak asik sekarang mah tf kena biaya transaksi padahal dulu gratis,2.122.0,1,ih gak jelas amat gak asik sekarang mah tf kena biaya transaksi padahal dulu gratis
"sangat mengecewakan akun dana,akun dana sya bisa di bobol, hari ini aja akun sya di bobol, tolong untuk akun dana di perkuat sistem nya👍👍",2.120.1,1,"sangat mengecewakan akun dana,akun dana sya bisa di bobol, hari ini aja akun sya di bobol, tolong untuk akun dana di perkuat sistem nya"
gimna kok gabisa login?,2.122.0,1,gimna kok gabisa login?
"Riwayat aktivitas error terus, unistal app, bahkan format hp hasilnya sama. bukan masalah cache dll memang bug appnya",2.122.0,1,"riwayat aktivitas error terus, unistal app, bahkan format hp hasilnya sama. bukan masalah cache dll memang bug appnya"
sayang sekali saya penyandang cicil namun tidak bisa di aktifasi sangat mngecewakan,2.122.0,2,sayang sekali saya penyandang cicil namun tidak bisa di aktifasi sangat mngecewakan
orang orang pada dapet fitur dana cicil kenapa di akun saya ga ada yah .apa karna harus di pilih yah,2.122.0,1,orang orang pada dapet fitur dana cicil kenapa di akun saya ga ada yah .apa karna harus di pilih yah
"Aplikasinya lumayan, kalau bisa upgrade limitnya...",2.122.0,3,"aplikasinya lumayan, kalau bisa upgrade limitnya..."
udh berapa tahun pake dana ga ada fitur dana cicil,2.122.0,1,udh berapa tahun pake dana ga ada fitur dana cicil
"gak bisa login dana kenapa yaa,, dengan alsasan terjadi kesalahan sambungan, padahal sinyal baguss",2.122.0,3,"gak bisa login dana kenapa yaa,, dengan alsasan terjadi kesalahan sambungan, padahal sinyal baguss"
"sudah hampir 5tahun bertransaksi fitur dana cicil sampai sekarang tidak ada juga,chat admin suruh tunggu 30 hari sudah 30 hari suruh tunggu lagi 30 hari kedepan.ampun",2.122.0,2,"sudah hampir 5tahun bertransaksi fitur dana cicil sampai sekarang tidak ada juga,chat admin suruh tunggu 30 hari sudah 30 hari suruh tunggu lagi 30 hari kedepan.ampun"
transfer dari bank ga masuk masuk padahal di bank nya udah kepotong,2.122.0,1,transfer dari bank ga masuk masuk padahal di bank nya udah kepotong
ga ada dana cicilnya,2.122.0,2,ga ada dana cicilnya
