content,cleaned_content,score,accuracy,completeness,satisfaction,reasoning
kenapa minta upgrade terus,kenapa minta upgrade terus,1,0.0,0.0,1.0,Pengguna merasa kecewa karena aplikasi terus meminta upgrade
tolong keamannya diperbagus masa iya dana saya diretas orang terus saldo 600.000 ilang,tolong keamannya diperbagus masa iya dana saya diretas orang terus saldo 600.000 ilang,1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (dana diretas) dan menunjukkan respon emosional negatif (kecewa)
dokumen sudah tercatat ketika hp hilng nmr lupa pihak dana susah tuk dimintai nmr yg lupa dikarenakan hp hilng kita minta nmr ditimbulkan supaya ganti nmr pihak dana smpe uler buluk GK akan kasih tau,dokumen sudah tercatat ketika hp hilng nmr lupa pihak dana susah tuk dimintai nmr yg lupa dikarenakan hp hilng kita minta nmr ditimbulkan supaya ganti nmr pihak dana smpe uler buluk gk akan kasih tau,1,0.0,1.0,1.0,Pengguna menyebutkan kesulitan karena fitur tidak lengkap (kebutuhan fitur untuk mengganti nomor yang lupa) dan menunjukkan respon emosional kecewa karena pihak dana tidak mau membantu.
update melulu.bayar QR aja bnyak gangguan benerin dlu sistem nya,update melulu.bayar qr aja bnyak gangguan benerin dlu sistem nya,1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (gangguan) dan merasa kecewa (update melulu, benerin dlu sistem nya)"
bagus sih cuman aneh nya dana cicil gak bisa ada maap,bagus sih cuman aneh nya dana cicil gak bisa ada maap,1,1.0,0.0,1.0,"Pengguna menyebutkan bahwa fitur dana cicil tidak berfungsi (accuracy=1) dan juga mengungkapkan rasa tidak puas dengan kata 'aneh' dan 'maap' (satisfaction=1), namun tidak menyebutkan kekurangan fitur (completeness=0)"
"sering terjadi permasalahan pada sistem pembayaran menggunakan kode QR, sering juga mengalami proses transaksi yg sangat lama, penanganan masalah lambat, operator diana yg di sediakan juga sangat lambat dalam memproses laporan, dan yang paling parah adalah data kita mudah bocor ke sindikat penipuan cuma dengan lewat DM ig pribadi dengan akun resmi dana.","sering terjadi permasalahan pada sistem pembayaran menggunakan kode qr, sering juga mengalami proses transaksi yg sangat lama, penanganan masalah lambat, operator diana yg di sediakan juga sangat lambat dalam memproses laporan, dan yang paling parah adalah data kita mudah bocor ke sindikat penipuan cuma dengan lewat dm ig pribadi dengan akun resmi dana.",1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (permasalahan pada sistem pembayaran, proses transaksi lama, penanganan masalah lambat) dan menunjukkan respon emosional negatif (kekecewaan) karena data mereka mudah bocor."
sudah memenuhi syarat semua transaksi banyak tetep aja belum muncul dana instan emng makin kesini makin gajelas,sudah memenuhi syarat semua transaksi banyak tetep aja belum muncul dana instan emng makin kesini makin gajelas,1,1.0,0.0,1.0,"Pengguna menyebutkan bahwa transaksi belum muncul dana instan, yang menunjukkan adanya kesalahan fungsi (accuracy=1). Pengguna juga menyatakan kekecewaan dengan menggunakan kata 'gajelas', yang menunjukkan respon emosional (satisfaction=1)."
"tiba tiba ga mau masuk, lelet kali bintang 1","tiba tiba ga mau masuk, lelet kali bintang 1",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (tidak bisa masuk) dan menunjukkan respon emosional negatif (kecewa) dengan memberikan bintang 1.
kenapa fitur dana instan saya ga ada yah padahal fitur dana cicil saya ada dan saya juga banyak transaksi di dana mohon di munculkan fitur dana instan nya,kenapa fitur dana instan saya ga ada yah padahal fitur dana cicil saya ada dan saya juga banyak transaksi di dana mohon di munculkan fitur dana instan nya,1,0.0,1.0,1.0,"Pengguna menyebutkan fitur dana instan tidak ada, yang menunjukkan kekurangan fitur (completeness), dan juga mengungkapkan kekecewaan dengan menggunakan kata 'ga ada' dan 'mohon di munculkan', yang menunjukkan respon emosional (satisfaction)."
apk dana skrng ruwet nomer gk aktip susah masuk sedang kan pake verifikasi muka sendiri tetap aja pakai kode otp,apk dana skrng ruwet nomer gk aktip susah masuk sedang kan pake verifikasi muka sendiri tetap aja pakai kode otp,1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (nomer tidak aktif, susah masuk) dan menunjukkan respon emosional negatif (ruwet)"
"Masalah nya KTP yang terdaftar itu milik ibu saya, sedangkan ibu saya sudah meninggal, bagaimana untuk verifikasi wajahnya :((","masalah nya ktp yang terdaftar itu milik ibu saya, sedangkan ibu saya sudah meninggal, bagaimana untuk verifikasi wajahnya",1,1.0,1.0,0.0,"Pengguna mengalami kesalahan fungsi karena KTP yang terdaftar milik ibu yang sudah meninggal, dan juga menyebutkan kebutuhan fitur verifikasi wajah yang tidak lengkap."
sudah ganti hp baru. data masih tertinggal d hp lama. g bisa di uninstall.otomatis ga bisa login hp baru,sudah ganti hp baru. data masih tertinggal d hp lama. g bisa di uninstall.otomatis ga bisa login hp baru,1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi karena tidak bisa uninstall dan login di hp baru, serta menyatakan kekecewaan dengan situasi tersebut."
nomor sama hp ilang di copet pas mau pindah akun masa ga bisa padahal dengan KTP yang sama malah harus ngurus kartu dulu,nomor sama hp ilang di copet pas mau pindah akun masa ga bisa padahal dengan ktp yang sama malah harus ngurus kartu dulu,1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (tidak bisa pindah akun) dan menunjukkan respon emosional kekecewaan (menggunakan kata 'masa ga bisa').
"Transfer uang ke bank bri pending sedangkan uangnya mau buat beli tiket bis, saldo udah motong juga, iya kalo saldo kembali, seandainya uang tetap masuk ke rekening penerima apa iya saya harus balik lagi buat minta uangnya ? jadwal saya jadi berantakan gara-gara pendingan transfer","transfer uang ke bank bri pending sedangkan uangnya mau buat beli tiket bis, saldo udah motong juga, iya kalo saldo kembali, seandainya uang tetap masuk ke rekening penerima apa iya saya harus balik lagi buat minta uangnya ? jadwal saya jadi berantakan gara gara pendingan transfer",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (transfer uang pending) dan merasa kecewa karena jadwalnya berantakan
"pernah tf ke BCA punya sendiri tp gak masuk² tp saldo dana sudah berkurang. pas aku hubungi cs DANA di suruh nunggu 2x24 jam tp masih tetep ga ada saldo masuk, hbs itu aku hubungi cs nya lagi katanya transaksi gagal jadi saldo akan balik ke akun DANA lagi tp sampai sekarang gak ada saldo yg balik. serius kecewa sih","pernah tf ke bca punya sendiri tp gak masuk tp saldo dana sudah berkurang. pas aku hubungi cs dana di suruh nunggu 2x24 jam tp masih tetep ga ada saldo masuk, hbs itu aku hubungi cs nya lagi katanya transaksi gagal jadi saldo akan balik ke akun dana lagi tp sampai sekarang gak ada saldo yg balik. serius kecewa sih",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (transaksi gagal) dan menyatakan kekecewaan dengan layanan yang diterima.
"apknya sih bagus tapi, ketika saya mau menandai aktivitas tiba tiba saja ngelag padahal tadi masih lancar","apknya sih bagus tapi, ketika saya mau menandai aktivitas tiba tiba saja ngelag padahal tadi masih lancar",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (ngelag) dan menunjukkan respon emosional (kekecewaan) karena aplikasi yang sebelumnya lancar tiba-tiba mengalami masalah.
kok dana gua susah kali yh dapet fitur dana cicil,kok dana gua susah kali yh dapet fitur dana cicil,1,0.0,1.0,1.0,"Pengguna menyebutkan kesulitan mendapatkan fitur dana cicil, yang menunjukkan kebutuhan fitur (completeness) dan juga menunjukkan emosi kekecewaan (satisfaction)"
"Akun sudah lama upgrade premium ,udah bisa transaksi buat transfer berkali kali,. kenapa tiba tiba logout ,giliran login lagi malah gagal upgrade premium, sekarang ga bisa di pake saldonya ... payah !!!","akun sudah lama upgrade premium ,udah bisa transaksi buat transfer berkali kali,. kenapa tiba tiba logout ,giliran login lagi malah gagal upgrade premium, sekarang ga bisa di pake saldonya ... payah !!!",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (logout tiba-tiba dan gagal upgrade premium) dan menunjukkan respon emosional negatif (payah !!!)
"Akun saya kenapa tidak bisa dihapus ya min? muncul keterangan ""Mengecek Akunmu"" berjam-jam tidak bisa dihapus dan masih stuck di ""Mengecek Akunmu""",akun saya kenapa tidak bisa dihapus ya min? muncul keterangan mengecek akunmu berjam jam tidak bisa dihapus dan masih stuck di mengecek akunmu,1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi karena akun tidak bisa dihapus dan muncul keterangan yang tidak jelas, serta terdapat respon emosional kekecewaan"
"udah upraged tapi fitur dana instan nya gak ada, udah gitu gw mau gabung versi beta nya katanya udah penuh. padahal selama ini gue paling rajin transaksi lewat dana, menyedihkan sekali menaruh kepercayaan kpd apk ini mknya sy kasih bintang 1. semoga bisa diperbaiki...","udah upraged tapi fitur dana instan nya gak ada, udah gitu gw mau gabung versi beta nya katanya udah penuh. padahal selama ini gue paling rajin transaksi lewat dana, menyedihkan sekali menaruh kepercayaan kpd apk ini mknya sy kasih bintang 1. semoga bisa diperbaiki...",1,0.0,1.0,1.0,"Pengguna menyebutkan fitur dana instan tidak ada, yang menunjukkan kekurangan fitur (completeness=1), dan juga mengungkapkan perasaan kecewa dan sedih (satisfaction=1)."
Kenapa dana cicil saya tidak bisa di gunakan padahal saldo ada?,kenapa dana cicil saya tidak bisa di gunakan padahal saldo ada?,1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi karena dana cicil tidak bisa digunakan dan terdapat respon emosional kekecewaan
hallo bos kok aplikasi dana tulisan koneksi terputus kenapa ya saya jadi GK login Tolong di perbaiki sistemnya,hallo bos kok aplikasi dana tulisan koneksi terputus kenapa ya saya jadi gk login tolong di perbaiki sistemnya,1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (koneksi terputus) dan menunjukkan respon emosional (kecewa) karena tidak bisa login.
"tolong bantu saya masuk akun dana saya, tiba² di tangguhkan apa mksutnya ini","tolong bantu saya masuk akun dana saya, tiba di tangguhkan apa mksutnya ini",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (akun ditangguhkan) dan merasa kecewa (meminta bantuan)
"aplikasi dongo buat apa""susah dana gampang di bobol""",aplikasi dongo buat apa susah dana gampang di bobol,1,1.0,0.0,1.0,"Pengguna menyatakan bahwa aplikasi 'dongo' mudah dibobol, yang menunjukkan adanya kesalahan fungsi (accuracy) dan juga mengekspresikan kekecewaan (satisfaction)."
"JELEK, PLEASE YA KALO MAU BIKIN DOMPET DIGITAL TU YG BENER. DUIT MASA GA DI APAA APAIN ILANGGG!!!!","jelek, please ya kalo mau bikin dompet digital tu yg bener. duit masa ga di apaa apain ilanggg!!!!",1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (hilangnya duit) dan menunjukkan respon emosional negatif (jelek, ilanggg), tetapi tidak menyebutkan fitur yang tidak lengkap."
"tolong perbaiki sistem pusat. untuk vermuk gagal terus,sampai sampai akun di suruh tunggu 1×24 jam, untuk mencoba log'in kembali 😭. padahal akun pribadi. fermuk muka sendiri. tapi gagal terus. tolong di perbaiki sistem nya. agar lancar untuk login. terimakasih. mohon segera di perbaiki 🙏🙏🙏","tolong perbaiki sistem pusat. untuk vermuk gagal terus,sampai sampai akun di suruh tunggu 1 24 jam, untuk mencoba log in kembali . padahal akun pribadi. fermuk muka sendiri. tapi gagal terus. tolong di perbaiki sistem nya. agar lancar untuk login. terimakasih. mohon segera di perbaiki",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (gagal login) dan menunjukkan respon emosional (kecewa) dengan meminta perbaikan sistem.
"dana cicil sudah dilunasi, bahkan yg blum jatuh tempo juga langsung dibayar semua, malah dana cicil gak bisa dipakai sama sekali. pdahal limit udah full gak ada hutang","dana cicil sudah dilunasi, bahkan yg blum jatuh tempo juga langsung dibayar semua, malah dana cicil gak bisa dipakai sama sekali. pdahal limit udah full gak ada hutang",1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi karena dana cicil tidak bisa dipakai meskipun limit sudah full dan tidak ada hutang, serta pengguna merasa kecewa karena dana cicil yang sudah dilunasi tidak bisa digunakan."
update terus tapi dana cicil saya tidak aktf aplikasi sampahhhh,update terus tapi dana cicil saya tidak aktf aplikasi sampahhhh,1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi karena dana cicil tidak aktif dan menyatakan kekecewaan dengan kata 'aplikasi sampahhhh'
dana nya banyak bug Panarikan di dana goals gagal dan yang tdk dapat di terima mohon di perbaiki,dana nya banyak bug panarikan di dana goals gagal dan yang tdk dapat di terima mohon di perbaiki,1,1.0,0.0,1.0,"Pengguna menyebutkan adanya bug dan kegagalan fungsi (gagal panarikan dana), yang menunjukkan masalah akurasi. Selain itu, pengguna juga mengungkapkan kekecewaan dengan menggunakan kata 'mohon di perbaiki', yang menunjukkan respon emosional."
"sudah masuk kan sandi yang benar dan sudah verifikasi wajah juga sudah. tetap meminta kode otp, padahal nomor sudah tidak aktif. trus minta otp lewat email, tetapi email terdaftar dan meminta otp berbeda . aneh aplikasi terlalu banyak boot dan tidak sesuai seperti awal","sudah masuk kan sandi yang benar dan sudah verifikasi wajah juga sudah. tetap meminta kode otp, padahal nomor sudah tidak aktif. trus minta otp lewat email, tetapi email terdaftar dan meminta otp berbeda . aneh aplikasi terlalu banyak boot dan tidak sesuai seperti awal",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi karena aplikasi meminta kode OTP meskipun nomor sudah tidak aktif dan verifikasi wajah sudah dilakukan. Pengguna juga menyatakan kekecewaan dengan menggunakan kata 'aneh' dan menyebutkan bahwa aplikasi 'terlalu banyak boot dan tidak sesuai seperti awal'.
"dana mohon diperbarui lagi soal langganan, terkadang saat ada saldo didana otomatis terpotong tampan sepengetahuan pemilik saldo dana","dana mohon diperbarui lagi soal langganan, terkadang saat ada saldo didana otomatis terpotong tampan sepengetahuan pemilik saldo dana",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (saldo otomatis terpotong tanpa sepengetahuan pemilik) dan merasa kecewa dengan situasi tersebut.
saya Mengajukan Pinjaman Di Dana Cicil namun Sebelum tanggal dan Jatuh Tempo Sudah Saya lunasi semua. Waktu Pengajuan Kembali Malah Dana Cicil Tidak tersedia Atau tidak berlaku. Aneh. kita Bayar Juga +bunga . malah tidak bisa pengajuan kembali.,saya mengajukan pinjaman di dana cicil namun sebelum tanggal dan jatuh tempo sudah saya lunasi semua. waktu pengajuan kembali malah dana cicil tidak tersedia atau tidak berlaku. aneh. kita bayar juga bunga . malah tidak bisa pengajuan kembali.,1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi karena tidak bisa melakukan pengajuan kembali setelah melunasi pinjaman, dan juga mengekspresikan kekecewaan dengan kata 'aneh' dan menyebutkan bahwa mereka membayar bunga."
masa gw sering transaksi trus udah premium juga. tapi dana cicil gw masih tidak berlaku juga sih gmna sih ini,masa gw sering transaksi trus udah premium juga. tapi dana cicil gw masih tidak berlaku juga sih gmna sih ini,1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (dana cicil tidak berlaku) dan menunjukkan respon emosional kekecewaan.
"kenapa kalo buka dana sering bgt force close, buka pilihan menu jg gabisa, jelek bgt","kenapa kalo buka dana sering bgt force close, buka pilihan menu jg gabisa, jelek bgt",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (force close) dan menyatakan kekecewaan (jelek bgt)
"tidak menyenangkan untuk asisten diana, jawab cuman pakai ai aja bangga. gak nyelesain masalah.","tidak menyenangkan untuk asisten diana, jawab cuman pakai ai aja bangga. gak nyelesain masalah.",1,0.0,0.0,1.0,"Ulasan menyatakan bahwa pengalaman tidak menyenangkan dan asisten tidak menyelesaikan masalah, menunjukkan respon emosional negatif."
pembayaran lewat qris tidak dapat diakses/kendala terus. sangat tidak pantas menjadikan tabungan,pembayaran lewat qris tidak dapat diakses kendala terus. sangat tidak pantas menjadikan tabungan,1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (pembayaran lewat qris tidak dapat diakses) dan menunjukkan respon emosional negatif (sangat tidak pantas)
"kecewa banget udah hampir sebulan saya masih belum bisa upgrade dana saya ke dana premium, udah ngajuin lewat diana digital asisstent sama lewat email tetep aja nihil gak bisa upgrade ke dana premium","kecewa banget udah hampir sebulan saya masih belum bisa upgrade dana saya ke dana premium, udah ngajuin lewat diana digital asisstent sama lewat email tetep aja nihil gak bisa upgrade ke dana premium",1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (tidak bisa upgrade ke dana premium) dan merasa kecewa, sehingga label accuracy dan satisfaction diberi nilai 1."
"di saat proses transaksi malah ke browser , mana lama lagi, klo gk bisa mending gk usah bikin apk, bikin susah bnyak orang aj","di saat proses transaksi malah ke browser , mana lama lagi, klo gk bisa mending gk usah bikin apk, bikin susah bnyak orang aj",1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (proses transaksi malah ke browser) dan menunjukkan respon emosional negatif (kecewa, marah) karena aplikasi tidak berfungsi dengan baik."
kurang bagus masa dana cicilnya ga bisa di pake,kurang bagus masa dana cicilnya ga bisa di pake,1,1.0,1.0,1.0,"Pengguna menyatakan bahwa fitur dana cicil tidak bisa digunakan, menunjukkan kesalahan fungsi (accuracy), kebutuhan fitur yang tidak lengkap (completeness), dan respon emosional negatif (satisfaction)."
gua bikin Qris dana lama bener udah berbulan bulan nunggu di cetak tapi sampai sekarang ga ada di buat,gua bikin qris dana lama bener udah berbulan bulan nunggu di cetak tapi sampai sekarang ga ada di buat,1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi (tidak ada hasil cetak) dan menunjukkan respon emosional kekecewaan.
"saya kecewa sama apk ini,jelas hp saya hilang sama nomor nya dilaporkan mau riset sandi nomor harus aktif,kalo masih aktif ngapain saya laporkan","saya kecewa sama apk ini,jelas hp saya hilang sama nomor nya dilaporkan mau riset sandi nomor harus aktif,kalo masih aktif ngapain saya laporkan",1,1.0,1.0,1.0,"Pengguna kecewa karena aplikasi tidak berfungsi sebagaimana mestinya, yaitu tidak bisa membantu mengaktifkan nomor yang sudah dilaporkan hilang, dan juga merasa bahwa fitur pelaporan hilang tidak lengkap karena masih memerlukan nomor yang aktif."
"BANYAK HACKER NYA BJIR, GAMPANG KE HACK GA REKOMEN WUU","banyak hacker nya bjir, gampang ke hack ga rekomen wuu",1,1.0,0.0,1.0,Pengguna menyebutkan adanya kesalahan fungsi (gampang ke hack) dan menunjukkan respon emosional negatif (ga rekomen wuu)
sangat kecewa dengan layanan pitur dana cicil tidak di proses limit pun tidak bisa di pake,sangat kecewa dengan layanan pitur dana cicil tidak di proses limit pun tidak bisa di pake,1,1.0,0.0,1.0,Pengguna menyatakan kekecewaan dan mengalami kesalahan fungsi karena layanan pitur dana cicil tidak diproses dan limit tidak bisa digunakan.
"jaringannya merah terus,bikin jengkel.","jaringannya merah terus,bikin jengkel.",1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (jaringannya merah terus) dan merasa jengkel, yang menunjukkan respon emosional."
ga jelas gua lupa PINnya udah ke WhatsApp udah pencet selesai balik lagi ke awal anjir,ga jelas gua lupa pinnya udah ke whatsapp udah pencet selesai balik lagi ke awal anjir,1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi karena proses tidak berjalan sesuai harapan dan mengungkapkan emosi negatif dengan kata 'anjir'.
Apk nya udh bagus TPI kenapa akhir akhir in bermasalah terus dalam sistem penarikan dan kirim. mohon di perbaiki sebaik mungkin. apk nmor 1 TPI sistemnya error mulu,apk nya udh bagus tpi kenapa akhir akhir in bermasalah terus dalam sistem penarikan dan kirim. mohon di perbaiki sebaik mungkin. apk nmor 1 tpi sistemnya error mulu,1,1.0,0.0,1.0,"Pengguna menyebutkan adanya masalah dengan sistem penarikan dan kirim, serta menyatakan bahwa aplikasi memiliki error, menunjukkan kesalahan fungsi dan respon emosional kekecewaan."
dana ribettttttt mau top aja jam pakai dibatasi bikin soal aja asw,dana ribettttttt mau top aja jam pakai dibatasi bikin soal aja asw,1,0.0,0.0,1.0,"Ulasan mengandung kata 'ribet' yang menunjukkan respon emosional negatif dari pengguna, sehingga label satisfaction diberi nilai 1."
"jujurly, saling lempar tanggung jawab ini ai dengan CSnya","jujurly, saling lempar tanggung jawab ini ai dengan csnya",1,0.0,0.0,1.0,"Ulasan menunjukkan respon emosional negatif pengguna (kekecewaan) terhadap tanggung jawab antara AI dan CS, tetapi tidak menyebutkan kesalahan fungsi atau kekurangan fitur."
"kualitas buruk,tf ke bank mandiri nominal 50k gagal,pending dan bla2. jangan download.pakai gopay atau link aja","kualitas buruk,tf ke bank mandiri nominal 50k gagal,pending dan bla2. jangan download.pakai gopay atau link aja",1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (gagal, pending) dan menunjukkan respon emosional negatif (kualitas buruk, jangan download), sehingga label accuracy dan satisfaction diberi nilai 1."
DANA smakin gk beres.. akun premium tiba2 premiumnya dinonaktifkan... saldo jd nyangkut gk bisa diambil.. proses upgrade premium ulang pun dipersulit mesti tunggu berhari hari dan itupun gagal.. sumpah kapok w pke DANA.. gk bakalan w pake DANA lg.. sdh trlalu byk mslh yg timbul.. tdk nyaman😡😡😡,dana smakin gk beres.. akun premium tiba2 premiumnya dinonaktifkan... saldo jd nyangkut gk bisa diambil.. proses upgrade premium ulang pun dipersulit mesti tunggu berhari hari dan itupun gagal.. sumpah kapok w pke dana.. gk bakalan w pake dana lg.. sdh trlalu byk mslh yg timbul.. tdk nyaman,1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (akun premium dinonaktifkan, saldo nyangkut, proses upgrade premium gagal) dan menunjukkan respon emosional negatif (kecewa, marah, kapok)"
terkendala upgrade premium dari sore same malamut status dalam pengecekan,terkendala upgrade premium dari sore same malamut status dalam pengecekan,1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (terkendala upgrade premium) dan menunjukkan respon emosional negatif (kecewa), tetapi tidak menyebutkan fitur yang tidak lengkap."
"ini fitur dana Instan, limit nya kok gak bisa dtrik lagi,","ini fitur dana instan, limit nya kok gak bisa dtrik lagi,",1,1.0,0.0,1.0,Pengguna mengalami kesalahan fungsi karena limit tidak bisa diatur lagi dan mengungkapkan kekecewaan
"kapok banget pake dana😭😭😭 top up e money lewat dana saldo udah kepotong tapi di e money ga ada, hilang gitu aja😭😭😭 ternyata orang-orang juga punya problem yang sama😭😭 tolong lah dibenahi, kita udah susah cari uang, niatnya biar mudah pake aplikasi dana eh malah kena sial, tolong jangan sampe keulang masalah gagal top up ini, bagi kalian itu nominal kecil tapi bagi kami sangat berarti","kapok banget pake dana top up e money lewat dana saldo udah kepotong tapi di e money ga ada, hilang gitu aja ternyata orang orang juga punya problem yang sama tolong lah dibenahi, kita udah susah cari uang, niatnya biar mudah pake aplikasi dana eh malah kena sial, tolong jangan sampe keulang masalah gagal top up ini, bagi kalian itu nominal kecil tapi bagi kami sangat berarti",1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (gagal top up) dan menunjukkan respon emosional negatif (kecewa, marah) karena masalah tersebut."
entah knpa mangkin kesini mangkin aneh,entah knpa mangkin kesini mangkin aneh,1,0.0,0.0,1.0,"Ulasan mengandung kata 'aneh' yang menunjukkan respon emosional negatif dari pengguna, sehingga label satisfaction diberi nilai 1."
